ID, Text, Created_at, Link
737845161942765569,A World War II Marine who was missing for more than 70 years was finally buried in Arlington https://t.co/ig0uGpbpv3 https://t.co/ddBJ2YcAvw,2016-06-01 03:16:09 +0000, http://www.cnn.com/2016/05/31/politics/missing-wwii-marine-buried-arlington-after-70-years/index.html?sr=twCNN060116missing-wwii-marine-buried-arlington-after-70-years0316AMVODtopPhoto&linkId=25054799
737843875180609536,Why request $50K/month spousal support? Amber Heard documents $43K in monthly expenses https://t.co/vE5LoLbW6t https://t.co/g1oB9vlry8,2016-06-01 03:11:02 +0000, http://www.cnn.com/2016/05/31/entertainment/amber-heard-johnny-depp-expenses/index.html?sr=twCNN060116amber-heard-johnny-depp-expenses0310AMStoryGalPhoto&linkId=25055845
737837952227762176,Condiments are the unsung heroes of the culinary world. Here are 32 we can't live without. https://t.co/j58qAPyg1N https://t.co/74qNlwWiby,2016-06-01 02:47:30 +0000, http://www.cnn.com/2016/05/31/foodanddrink/best-condiments/index.html?sr=twCNN060116best-condiments0247AMStoryGalPhoto&linkId=25055407
737835672761999360,A diamond-encrusted Golden Eagle statue made with 18 pounds of pure gold has been stolen. https://t.co/gdGozGjpp3 https://t.co/xO9BKoBMSU,2016-06-01 02:38:27 +0000, http://www.cnn.com/2016/05/31/world/golden-eagle-stolen/index.html?sr=twCNN060116golden-eagle-stolen0238AMVODtopPhoto&linkId=25055309
737834196626968576,One of veterans charities on Trump's list linked to a telemarketer accused of deception https://t.co/nisswfFw8I https://t.co/YlNmcacCW9,2016-06-01 02:32:35 +0000, http://www.cnn.com/2016/05/31/politics/donald-trump-charity-telemarketer/index.html?sr=twCNN060116donald-trump-charity-telemarketer0232AMVODtopPhoto&linkId=25055217
737832776762830849,RT @AC360: CNN rides along as an ICE team arrests undocumented immigrants https://t.co/2TQpYPN4kE https://t.co/TNtunQ5vpp,2016-06-01 02:26:56 +0000, http://www.cnn.com/2016/05/31/politics/undocumented-immigrants-enforcement/index.htmlhttp://www.snappytv.com/tc/2056602
737830779649163264,"Mary Poppins" sequel starring Emily Blunt, Lin-Manuel Miranda to fly into theaters in 2018 https://t.co/gHCYCs8NGs https://t.co/w6GwobuVi2,2016-06-01 02:19:00 +0000, http://money.cnn.com/2016/05/31/media/mary-poppins-emily-blunt-lin-manuel-miranda/index.html?sr=twCNN060116mary-poppins-emily-blunt-lin-manuel-miranda0219AMStoryPhoto&linkId=25054821
737829287760367616,"It almost comes out like a Guinness beer." Starbucks is now serving coffee from a tap https://t.co/9hKwdHdbNt https://t.co/00TeM7NTFa,2016-06-01 02:13:05 +0000, http://money.cnn.com/2016/05/31/news/companies/starbucks-nitro-cold-brew-coffee/index.html?sr=twCNN060116starbucks-nitro-cold-brew-coffee0215AMStoryPhoto&linkId=25054789
737828031289511936,Those fleeing #Falluja take almost nothing but risk everything: https://t.co/ZnrA3MjNmq https://t.co/ot2KTylljI,2016-06-01 02:08:05 +0000, http://www.cnn.com/2016/05/31/middleeast/voices-from-falluja/index.html?sr=twCNN060116voices-from-falluja0208AMVODtopLink&linkId=25054778
737827256647712768,This is what happens when you speak with a robot Buddhist monk in China: https://t.co/AdxrFNoWda https://t.co/YDOvHA1K3J,2016-06-01 02:05:00 +0000, http://www.cnn.com/2016/05/30/travel/china-buddhism-robot-monk/index.html?sr=twCNN060116china-buddhism-robot-monk0205AMStoryPhoto&linkId=25054771
